un,vn,x,y,u,v
-0.119816569,0.085854646,1,1,-0.089910621,0.122247991
-0.023222394,0.069091504,11,1,0.006321507,0.106425754
0.021971948,0.012115599,21,1,0.050843939,0.050183395
-0.000679615,-0.059347281,31,1,0.027147286,-0.020865133
0.132105035,0.006334741,41,1,0.158454938,0.044772731
-0.029065344,-0.028000966,51,1,-0.004669115,0.009771124
-0.029041819,0.015136379,61,1,-0.007095609,0.05144385
0.004713967,0.043122011,71,1,0.023729929,0.076993359
0.02431525,0.001155913,81,1,0.03997969,0.031475764
0.001662536,-0.004123337,91,1,0.013656466,0.021442515
-0.077874507,-0.054756313,101,1,-0.069731802,-0.03515187
0.046038725,0.040735786,111,1,0.050309784,0.053267167
-0.004587757,0.031295498,121,1,-0.004045292,0.035848055
-0.024804062,-0.014257269,131,1,-0.027705052,-0.018274492
-0.078288903,-0.064930678,141,1,-0.084260983,-0.077705956
0.002723983,0.046133178,151,1,-0.005952048,0.024842262
0.081838615,-0.044934493,161,1,0.070711918,-0.074145609
0.076796197,-0.051036848,171,1,0.06328737,-0.087406538
-0.002477985,0.041255611,181,1,-0.01847117,-0.001564874
-0.002950961,0.029777604,191,1,-0.021613063,-0.018986029
0.079112223,-0.001739247,201,1,0.057620555,-0.056163779
-0.060482127,-0.02570408,211,1,-0.084861385,-0.085667635
-0.068135135,-0.002770235,221,1,-0.095314044,-0.068209595
0.014215463,0.030893592,231,1,-0.01550922,-0.039910738
0.074204593,-0.000892841,241,1,0.042359512,-0.076801376
0.054721032,0.050532748,251,1,0.02134175,-0.029972538
0.01397387,-0.021969025,261,1,-0.02022855,-0.106234454
-0.015703836,-0.026714159,271,1,-0.049962478,-0.113526761
-0.0143943,-0.1516568,281,1,-0.047985493,-0.239443585
-0.063878164,0.035037913,291,1,-0.096230323,-0.051890611
-0.025656751,0.082870548,301,1,-0.056434737,-0.00128645
0.01746271,-0.039705485,311,1,-0.011670283,-0.119311373
0.085121787,0.037902539,321,1,0.057478437,-0.03569268
0.019597625,0.038944216,331,1,-0.006853596,-0.027605917
-0.024699896,0.013071356,341,1,-0.050305537,-0.045833164
0.009279346,-0.08962111,351,1,-0.01580527,-0.140649573
0.044136251,0.046415917,361,1,0.019306583,0.003218382
-0.02552991,0.071190502,371,1,-0.050305358,0.035591902
0.015330382,-0.014859807,381,1,-0.009535825,-0.043214869
0.000843633,-0.057692809,391,1,-0.024215792,-0.079247444
-0.01844025,0.079104298,401,1,-0.043761572,0.063835427
-0.051975651,0.061363176,411,1,-0.077595598,0.051802516
0.043096554,0.022267921,421,1,0.01717614,0.017786247
-0.027237737,-0.035634779,431,1,-0.053422194,-0.035699775
-0.022627517,0.015136572,441,1,-0.04900137,0.018817934
-0.012766799,0.009590788,451,1,-0.039222298,0.016367184
-0.04817554,-0.06651542,461,1,-0.074581228,-0.057252544
0.027115651,-0.052128217,471,1,0.000903544,-0.040927565
-0.081622259,-0.168472454,481,1,-0.107495718,-0.155813546
-0.000363871,-0.008241968,491,1,-0.025761312,0.005467309
0.030471128,0.039368788,501,1,0.00567307,0.053789563
0.00623981,0.015053045,1,11,0.039816503,0.054095818
0.042988173,-0.046562065,11,11,0.076531191,-0.006129827
0.018663109,-0.041703897,21,11,0.051847379,-3.46E-05
0.045837808,0.065485389,31,11,0.078249815,0.108112612
-0.007877358,0.051681389,41,11,0.023259076,0.094818725
0.05118585,0.067413296,51,11,0.080464689,0.110402611
0.010739094,-0.035641201,61,11,0.037527461,0.006299809
-0.013351198,0.01728833,71,11,0.01030896,0.057029488
0.021809074,0.042770723,81,11,0.041758481,0.078935693
0.033823918,0.026748981,91,11,0.04959923,0.057805932
-0.010641793,-0.06916742,101,11,0.000670317,-0.044796712
0.015357555,-0.006856238,111,11,0.022128066,0.009340675
-0.065691698,0.169482449,121,11,-0.06331562,0.176262245
0.03966254,0.018263931,131,11,0.038006309,0.014793896
-0.047623525,-0.013811434,141,11,-0.052791403,-0.027785328
0.012820346,0.116457305,151,11,0.004684057,0.092409446
0.076459906,-0.038948513,161,11,0.065717004,-0.07204509
0.104476056,-0.042362073,171,11,0.091152484,-0.083235194
0.021038893,-0.007834986,181,11,0.004852728,-0.055406293
0.041487482,0.029919287,191,11,0.022031602,-0.023721359
-1.00E-04,-0.075712718,201,11,-0.023171269,-0.135228904
-0.077229434,-0.06062162,211,11,-0.104097824,-0.126094551
0.0346695,0.002601476,221,11,0.004023122,-0.069009907
0.046439386,0.029053669,231,11,0.012250424,-0.048831418
-0.037592316,-0.070985154,241,11,-0.074857283,-0.155100178
-0.017829341,0.042660478,251,11,-0.057465936,-0.047325356
-0.032481302,0.038432023,261,11,-0.073571949,-0.056612784
0.016318719,-0.091702679,271,11,-0.02517537,-0.190436103
-0.040870229,-0.032233201,281,11,-0.081727677,-0.132709203
0.08224353,-0.082973288,291,11,0.042872184,-0.182796835
